expression,reading,level
受け付ける,うけつける,JLPT_1 JLPT
受け止める,うけとめる,JLPT_1 JLPT
受身,うけみ,JLPT_1 JLPT
受持ち,うけもち,JLPT_1 JLPT
動き,うごき,JLPT_1 JLPT
埋める,うずめる,JLPT_1 JLPT
嘘つき,うそつき,JLPT_1 JLPT
うたた寝,うたたね,JLPT_1 JLPT
打ち明ける,うちあける,JLPT_1 JLPT
打ち切る,うちきる,JLPT_1 JLPT
打ち消し,うちけし,JLPT_1 JLPT
打ち込む,うちこむ,JLPT_1 JLPT
団扇,うちわ,JLPT_1 JLPT
内訳,うちわけ,JLPT_1 JLPT
写し,うつし,JLPT_1 JLPT
訴え,うったえ,JLPT_1 JLPT
うっとうしい,うっとうしい,JLPT_1 JLPT
うつむく,うつむく,JLPT_1 JLPT
空ろ,うつろ,JLPT_1 JLPT
器,うつわ,JLPT_1 JLPT
腕前,うでまえ,JLPT_1 JLPT
雨天,うてん,JLPT_1 JLPT
促す,うながす,JLPT_1 JLPT
うぬぼれ,うぬぼれ,JLPT_1 JLPT
生まれつき,うまれつき,JLPT_1 JLPT
埋め込む,うめこむ,JLPT_1 JLPT
梅干し,うめぼし,JLPT_1 JLPT
裏返し,うらがえし,JLPT_1 JLPT
売り出し,うりだし,JLPT_1 JLPT
売り出す,うりだす,JLPT_1 JLPT
潤う,うるおう,JLPT_1 JLPT
浮気,うわき,JLPT_1 JLPT
